View,Coment,Like,Subscriber
16546,225.0,873.0,50000.0
31050,185.0,966.0,50000.0
912,38.0,112.0,150000.0
15547,139.0,799.0,40000.0
3081,14.0,88.0,1000.0
3927,214.0,553.0,50000.0
6762,119.0,229.0,7000.0
4256,58.0,190.0,4000.0
49,2.0,3.0,38.0
726,31.0,41.0,1000.0
3076,20.0,131.0,30000.0
242,9.0,19.0,2000.0
1700,27.0,165.0,140000.0
929,17.0,46.0,3000.0
449,29.0,34.0,3000.0
415,10.0,19.0,3000.0
112,8.0,8.0,2000.0
4374,49.0,245.0,30000.0
11621,232.0,871.0,150000.0
1163,48.0,51.0,2000.0
208,8.0,4.0,66.0
1039,45.0,71.0,10000.0
383,6.0,18.0,2000.0
500,15.0,6.0,328.0
3247,119.0,198.0,7000.0
232,22.0,25.0,271.0
10507,120.0,419.0,20000.0
828,83.0,135.0,6000.0
8454,157.0,436.0,10000.0
583,22.0,37.0,1000.0
2948,24.0,105.0,5000.0
2802,70.0,54.0,972.0
192,5.0,31.0,346.0
885,9.0,65.0,4000.0
2134,70.0,86.0,10000.0
830,24.0,35.0,771.0
1518,11.0,52.0,20000.0
127,5.0,11.0,1000.0
7967,242.0,865.0,130000.0
393,15.0,23.0,1000.0
3700,52.0,211.0,4000.0
410,6.0,41.0,3000.0
198,30.0,21.0,1000.0
252,6.0,9.0,10000.0
1175,1.0,58.0,20000.0
242,4.0,17.0,492.0
1839,13.0,76.0,10000.0
1547,18.0,47.0,10000.0
487,13.0,76.0,3000.0
123,3.0,8.0,6000.0
61,2.0,5.0,72.0
185,8.0,18.0,6000.0
553,8.0,29.0,1000.0
269,40.0,49.0,40000.0
401,20.0,11.0,271.0
109,2.0,10.0,798.0
148,5.0,6.0,700.0
22250,138.0,723.0,390000.0
47,7.0,8.0,93.0
456,7.0,25.0,10000.0
400,9.0,27.0,406.0
701,6.0,44.0,20000.0
99,4.0,11.0,1000.0
29,3.0,4.0,1000.0
138,8.0,6.0,744.0
3401,22.0,87.0,9000.0
5245,238.0,665.0,120000.0
837,16.0,39.0,2000.0
16,0.0,2.0,177.0
64,3.0,4.0,249.0
30,4.0,7.0,1000.0
75,20.0,16.0,2000.0
148,27.0,14.0,446.0
1218,43.0,230.0,10000.0
174,60.0,30.0,568.0
117,2.0,19.0,1000.0
1960,23.0,50.0,10000.0
1393,97.0,235.0,7000.0
7337,88.0,322.0,20000.0
65,2.0,5.0,2000.0
40,5.0,11.0,2000.0
166,24.0,17.0,775.0
81,4.0,12.0,3000.0
3217,47.0,231.0,2000.0
36,11.0,14.0,652.0
57,22.0,10.0,241.0
54,6.0,7.0,91.0
40,3.0,6.0,143.0
220,9.0,35.0,10000.0
190,0.0,3.0,327.0
35,2.0,8.0,168.0
74,1.0,4.0,380.0
64,0.0,21.0,97.0
137,20.0,9.0,105.0
15,0.0,2.0,22.0
183,44.0,24.0,802.0
395957,1696.0,10000.0,2840000.0
19,1.0,3.0,260.0
85,5.0,18.0,1000.0
83,12.0,7.0,192.0
26,0.0,3.0,24.0
331,20.0,56.0,534.0
78,7.0,5.0,44.0
793,38.0,44.0,963.0
205,20.0,23.0,1000.0
57,5.0,4.0,123.0
94,2.0,7.0,342.0
10,2.0,3.0,15.0
83,2.0,2.0,36.0
46,4.0,11.0,51.0
277,8.0,16.0,1000.0
64,7.0,6.0,411.0
43,8.0,4.0,153.0
81,1.0,6.0,97.0
53,6.0,16.0,377.0
36,10.0,8.0,87.0
21,0.0,8.0,39.0
61,4.0,11.0,117.0
38,7.0,5.0,341.0
37,2.0,11.0,70.0
71,8.0,10.0,36.0
593,25.0,36.0,122.0
90,21.0,25.0,188.0
53,2.0,3.0,99.0
20,3.0,5.0,113.0
97,6.0,13.0,118.0
139,7.0,10.0,190.0
246,25.0,19.0,1000.0
68,4.0,8.0,57.0
37,6.0,4.0,12.0
127,2.0,9.0,148.0
781,15.0,37.0,972.0
101,2.0,6.0,1000.0
419,25.0,23.0,956.0
145,0.0,7.0,134.0
158,9.0,11.0,295.0
28,8.0,9.0,132.0
527,9.0,23.0,204.0
30,4.0,9.0,158.0
75,8.0,5.0,154.0
124,11.0,6.0,62.0
98,3.0,12.0,220.0
23,2.0,4.0,53.0
1236,14.0,35.0,395.0
198,4.0,9.0,48.0
137,7.0,16.0,1000.0
313,5.0,24.0,787.0
92,18.0,18.0,925.0
71,5.0,6.0,239.0
77,3.0,6.0,60.0
79,8.0,14.0,55.0
15,0.0,4.0,5.0
126,29.0,13.0,56.0
96,20.0,14.0,176.0
87226,566.0,1000.0,190000.0
399,30.0,19.0,491.0
25,1.0,4.0,20.0
29,0.0,8.0,271.0
33,3.0,1.0,201.0
71,10.0,11.0,224.0
426,0.0,7.0,22.0
31,2.0,5.0,76.0
44,11.0,5.0,55.0
29,1.0,4.0,75.0
16,1.0,4.0,16.0
419,13.0,22.0,1000.0
33,5.0,7.0,55.0
33,1.0,5.0,102.0
75,1.0,6.0,657.0
126,16.0,11.0,186.0
5710,17.0,153.0,1000.0
32,2.0,3.0,253.0
215,11.0,16.0,18.0
3080,108.0,437.0,60000.0
8388,308.0,938.0,60000.0
4808,128.0,590.0,150000.0
50393,461.0,1000.0,90000.0
55004,439.0,2000.0,120000.0
2070,81.0,225.0,8000.0
15433,112.0,677.0,460000.0
122,11.0,17.0,650.0
15343,192.0,444.0,10000.0
15715,402.0,2000.0,80000.0
1368,176.0,152.0,10000.0
14297,258.0,1000.0,60000.0
558,40.0,62.0,2000.0
809,15.0,40.0,3000.0
273,28.0,28.0,3000.0
8218,568.0,1000.0,10000.0
99,5.0,13.0,425.0
357,7.0,42.0,1000.0
243,4.0,14.0,232.0
54722,421.0,1000.0,520000.0
605,18.0,34.0,5000.0
4556,46.0,178.0,8000.0
3701,5.0,66.0,10000.0
249,24.0,14.0,1000.0
153419,530.0,4000.0,210000.0
504,27.0,55.0,2000.0
558,30.0,62.0,4000.0
1237,18.0,98.0,50000.0
830,22.0,80.0,30000.0
173,20.0,29.0,140.0
138,7.0,11.0,893.0
616,25.0,77.0,30000.0
7774,45.0,406.0,30000.0
360,17.0,104.0,60000.0
133,3.0,8.0,348.0
64,1.0,15.0,1000.0
523,14.0,15.0,780.0
872,35.0,20.0,3000.0
1722,51.0,101.0,10000.0
128,23.0,23.0,725.0
3797,23.0,104.0,10000.0
783,31.0,80.0,10000.0
418,24.0,46.0,10000.0
186,10.0,10.0,2000.0
144,4.0,17.0,358.0
127,3.0,27.0,1000.0
134,9.0,10.0,190.0
952,20.0,89.0,20000.0
221,3.0,20.0,421.0
467,14.0,26.0,282.0
208,26.0,51.0,1000.0
360,5.0,47.0,60000.0
2736,291.0,296.0,70000.0
84,5.0,4.0,65.0
1351,41.0,142.0,50000.0
69,15.0,14.0,1000.0
255,4.0,17.0,799.0
248,55.0,22.0,1000.0
117,1.0,8.0,139.0
33,3.0,5.0,22.0
41,11.0,6.0,444.0
201,3.0,11.0,135.0
98,25.0,28.0,337.0
57,3.0,5.0,73.0
114,19.0,18.0,239.0
21072,93.0,738.0,60000.0
31,2.0,1.0,22.0
135,7.0,15.0,270.0
499,8.0,33.0,1000.0
21,4.0,4.0,128.0
141,7.0,16.0,125.0
58,2.0,6.0,268.0
300,9.0,10.0,89.0
45,5.0,14.0,261.0
78,6.0,12.0,64.0
31,5.0,5.0,168.0
115,9.0,10.0,232.0
116,5.0,7.0,2000.0
18,0.0,5.0,21.0
20,1.0,6.0,26.0
72,3.0,9.0,969.0
61,21.0,10.0,61.0
118,7.0,15.0,141.0
42669,351.0,1000.0,40000.0
35,2.0,6.0,32.0
107,12.0,19.0,165.0
47,7.0,7.0,523.0
9,4.0,1.0,66.0
28,0.0,3.0,25.0
41,7.0,11.0,25.0
21,3.0,1.0,25.0
52,6.0,3.0,30.0
5619,87.0,702.0,20000.0
42,2.0,7.0,34.0
137,0.0,10.0,36.0
1830,32.0,114.0,30000.0
592,38.0,118.0,7000.0
191,29.0,29.0,1000.0
82,12.0,10.0,25.0
29,4.0,7.0,62.0
24,3.0,6.0,37.0
26416,149.0,849.0,10000.0
33,7.0,5.0,57.0
29,4.0,1.0,12.0
14,0.0,5.0,14.0
5069,98.0,1000.0,30000.0
89,3.0,6.0,1000.0
24,0.0,3.0,162.0
53,4.0,7.0,17.0
13,4.0,3.0,11.0
137,0.0,6.0,330.0
55,5.0,10.0,70.0
87,0.0,4.0,2000.0
226,24.0,35.0,564.0
390,26.0,22.0,1000.0
68,8.0,7.0,71.0
108,13.0,12.0,63.0
113,4.0,5.0,1000.0
29,2.0,2.0,40.0
35,0.0,3.0,1000.0
22,1.0,4.0,21.0
57,8.0,10.0,47.0
255,30.0,15.0,145.0
131,4.0,8.0,2000.0
177,4.0,8.0,33.0
26,2.0,8.0,54.0
137,14.0,20.0,61.0
5,0.0,1.0,27.0
63,5.0,12.0,6000.0
644,15.0,28.0,1000.0
93,10.0,23.0,8000.0
163,3.0,6.0,664.0
70,8.0,5.0,14.0
40,1.0,10.0,47.0
41,0.0,4.0,15.0
21,2.0,3.0,24.0
39,2.0,4.0,22.0
52,7.0,2.0,30.0
29,2.0,7.0,19.0
61,1.0,5.0,36.0
32,0.0,0.0,131.0
58,15.0,12.0,1000.0
157,1.0,4.0,330.0
104,46.0,41.0,1000.0
52,0.0,1.0,254.0
35,3.0,6.0,30.0
6370,99.0,635.0,60000.0
8741,347.0,1000.0,20000.0
11149,94.0,486.0,10000.0
20438,171.0,895.0,690000.0
176,11.0,12.0,617.0
212,12.0,11.0,226.0
594,15.0,65.0,10000.0
58,2.0,8.0,672.0
21573,97.0,436.0,50000.0
39537,203.0,1000.0,50000.0
2514,62.0,255.0,20000.0
41715,145.0,1000.0,420000.0
3000,74.0,136.0,3000.0
4026,65.0,163.0,30000.0
1308,36.0,72.0,2000.0
10883,45.0,269.0,50000.0
161,5.0,10.0,1000.0
108,4.0,20.0,2000.0
1648,46.0,206.0,40000.0
1378,19.0,79.0,2000.0
498,12.0,38.0,10000.0
935,43.0,113.0,6000.0
114,5.0,15.0,98.0
5529,30.0,284.0,2000.0
1197,0.0,9.0,1000.0
233,11.0,16.0,337.0
59,3.0,9.0,981.0
14034,59.0,704.0,10000.0
1163,18.0,59.0,1000.0
388,13.0,15.0,2000.0
822,29.0,33.0,3000.0
201,11.0,28.0,566.0
180,8.0,16.0,2000.0
8766,60.0,305.0,70000.0
12018,49.0,136.0,30000.0
1424,27.0,41.0,2000.0
90,2.0,8.0,188.0
267,38.0,77.0,415.0
64,10.0,7.0,56.0
38,5.0,6.0,1000.0
62,1.0,4.0,293.0
223,48.0,31.0,313.0
66,1.0,2.0,429.0
257,8.0,12.0,509.0
210,3.0,29.0,220.0
165,6.0,11.0,550.0
922,19.0,82.0,20000.0
166,31.0,14.0,227.0
157,8.0,10.0,173.0
115,10.0,9.0,236.0
76,13.0,19.0,107.0
1678,27.0,46.0,2000.0
96,0.0,5.0,179.0
157,23.0,18.0,609.0
42,3.0,7.0,123.0
1846,23.0,139.0,10000.0
447,20.0,37.0,1000.0
470,30.0,29.0,3000.0
104231,566.0,2000.0,180000.0
30247,206.0,979.0,50000.0
9605,151.0,294.0,7000.0
450,19.0,43.0,10000.0
9630,59.0,197.0,8000.0
7695,70.0,220.0,10000.0
2179,23.0,53.0,1000.0
10328,30.0,538.0,110000.0
192,11.0,17.0,745.0
1325,11.0,61.0,850.0
139,8.0,14.0,627.0
329,12.0,38.0,1000.0
12863,57.0,448.0,10000.0
878,15.0,81.0,10000.0
1410,29.0,59.0,4000.0
76,17.0,14.0,307.0
940,14.0,37.0,1000.0
2375,35.0,64.0,703.0
2008,37.0,41.0,6000.0
419,4.0,42.0,30000.0
12582,102.0,1000.0,60000.0
382,24.0,50.0,1000.0
150,6.0,15.0,30000.0
25220,342.0,1000.0,520000.0
407,10.0,24.0,4000.0
572,29.0,25.0,213.0
2188,35.0,131.0,10000.0
15176,138.0,370.0,6000.0
176,12.0,13.0,74.0
402,7.0,46.0,10000.0
196,8.0,14.0,1000.0
1793,27.0,114.0,6000.0
752,27.0,50.0,335.0
461,10.0,18.0,91.0
162,1.0,11.0,165.0
312715,1486.0,6000.0,290000.0
471,30.0,22.0,812.0
354,13.0,26.0,4000.0
1554,33.0,61.0,10000.0
668,8.0,23.0,1000.0
240,16.0,29.0,1000.0
84,5.0,8.0,69.0
645,13.0,61.0,10000.0
149,10.0,19.0,2000.0
1595,29.0,58.0,10000.0
1174,60.0,160.0,6000.0
1097,16.0,81.0,100000.0
121,9.0,3.0,19.0
328,11.0,26.0,389.0
50682,345.0,663.0,50000.0
134,7.0,7.0,93.0
257,6.0,28.0,1000.0
170,6.0,21.0,10000.0
341,12.0,15.0,480.0
120,0.0,9.0,340.0
470,13.0,23.0,10000.0
1005,28.0,32.0,2000.0
60,10.0,13.0,26.0
293,8.0,17.0,1000.0
339,17.0,37.0,4000.0
66,12.0,8.0,1000.0
40503,319.0,2000.0,190000.0
159,2.0,11.0,1000.0
2225,15.0,77.0,2000.0
5211,73.0,187.0,10000.0
226,7.0,15.0,625.0
126,0.0,10.0,809.0
4379,72.0,495.0,908.0
904,13.0,31.0,520.0
44,2.0,7.0,162.0
16638,172.0,445.0,120000.0
64,4.0,6.0,51.0
106,8.0,27.0,4000.0
1051,27.0,28.0,1000.0
314,1.0,15.0,311.0
176,7.0,13.0,637.0
29,1.0,7.0,402.0
77,2.0,19.0,200.0
111,1.0,4.0,85.0
53,3.0,5.0,62.0
117,3.0,8.0,64.0
94,2.0,5.0,22.0
96,4.0,5.0,1000.0
32,0.0,5.0,22.0
54,7.0,10.0,80.0
162,9.0,15.0,148.0
116,11.0,10.0,726.0
136,10.0,28.0,433.0
126,23.0,23.0,61.0
168,2.0,8.0,128.0
52,4.0,3.0,2000.0
14,0.0,1.0,9000.0
33,0.0,9.0,791.0
101,14.0,19.0,135.0
42,5.0,11.0,67.0
30,4.0,8.0,154.0
1064,39.0,129.0,20000.0
37,3.0,3.0,47.0
82,20.0,14.0,38.0
64,6.0,6.0,79.0
610,10.0,83.0,1000.0
490,21.0,10.0,55.0
464,11.0,58.0,70000.0
92,4.0,10.0,205.0
40,7.0,9.0,41.0
44,1.0,3.0,31.0
292,10.0,9.0,2000.0
540,22.0,11.0,1000.0
266,57.0,42.0,1000.0
100,1.0,2.0,341.0
67,8.0,8.0,110.0
67,3.0,10.0,60.0
63,3.0,7.0,280.0
15,7.0,2.0,42.0
87,11.0,7.0,24.0
162,7.0,11.0,255.0
90,11.0,16.0,63.0
111,5.0,7.0,217.0
74,8.0,14.0,122.0
136,11.0,9.0,133.0
181,30.0,18.0,69.0
65,3.0,8.0,82.0
78,2.0,11.0,714.0
14,1.0,3.0,45.0
20,0.0,6.0,16.0
31,3.0,6.0,161.0
216,14.0,5.0,160.0
32,1.0,2.0,282.0
61,4.0,7.0,102.0
64,4.0,6.0,2000.0
167,13.0,15.0,2000.0
79,4.0,11.0,926.0
60,2.0,10.0,360.0
215,2.0,21.0,370.0
25,0.0,8.0,35.0
61,5.0,7.0,65.0
20,4.0,2.0,42.0
854,8.0,8.0,62.0
52,5.0,6.0,138.0
73,23.0,11.0,201.0
89,6.0,7.0,89.0
37,5.0,5.0,101.0
42,5.0,8.0,10.0
18604,35.0,336.0,160000.0
3167,112.0,131.0,10000.0
58,7.0,11.0,91.0
45,1.0,7.0,25.0
66,0.0,8.0,86.0
90,0.0,5.0,97.0
990,36.0,107.0,20000.0
840,26.0,102.0,10000.0
71333,197.0,1000.0,130000.0
1441,13.0,49.0,10000.0
35261,177.0,1000.0,160000.0
8486,70.0,265.0,20000.0
11399,48.0,253.0,10000.0
5767,156.0,211.0,20000.0
33112,204.0,1000.0,50000.0
639,12.0,70.0,3000.0
1204,25.0,76.0,10000.0
549,33.0,16.0,518.0
162,7.0,11.0,7000.0
2259,48.0,237.0,340000.0
4500,34.0,84.0,5000.0
2130,77.0,60.0,4000.0
346,13.0,49.0,923.0
328,11.0,46.0,2000.0
115,4.0,16.0,1000.0
5407,64.0,195.0,8000.0
405,78.0,26.0,1000.0
489,17.0,24.0,1000.0
127,4.0,15.0,918.0
5631,38.0,315.0,10000.0
38144,319.0,762.0,40000.0
672,27.0,82.0,8000.0
2312,23.0,51.0,20000.0
16360,48.0,374.0,50000.0
958,25.0,56.0,6000.0
1180,16.0,43.0,2000.0
1125,22.0,121.0,230000.0
2509,14.0,84.0,4000.0
964,32.0,45.0,3000.0
6457,190.0,661.0,40000.0
408,11.0,51.0,3000.0
78,2.0,2.0,2000.0
339,13.0,51.0,6000.0
22743,118.0,1000.0,90000.0
46331,234.0,1000.0,50000.0
96564,199.0,2000.0,350000.0
32859,213.0,1000.0,100000.0
34983,58.0,821.0,250000.0
5184,131.0,565.0,80000.0
19156,165.0,579.0,150000.0
3311,24.0,110.0,10000.0
27490,127.0,1000.0,240000.0
480,18.0,49.0,10000.0
163,9.0,16.0,696.0
390,36.0,32.0,1000.0
260,2.0,25.0,5000.0
328,19.0,29.0,1000.0
6242,192.0,373.0,10000.0
924,10.0,16.0,812.0
2293,10.0,89.0,2000.0
15346,79.0,396.0,80000.0
10273,81.0,244.0,50000.0
3183,11.0,157.0,10000.0
552,13.0,52.0,7000.0
159,12.0,12.0,7000.0
7911,132.0,394.0,30000.0
206,33.0,19.0,3000.0
8013,39.0,453.0,4000.0
510,16.0,25.0,148.0
319,22.0,57.0,854.0
126,30.0,15.0,2000.0
10074,350.0,656.0,400000.0
155145,1672.0,10000.0,970000.0
1563,50.0,224.0,1000.0
5035,66.0,304.0,10000.0
9619,91.0,247.0,8000.0
31,1.0,7.0,119.0
297,12.0,39.0,10000.0
31294,139.0,1000.0,400000.0
1003,30.0,30.0,1000.0
174,10.0,12.0,732.0
2307,36.0,109.0,6000.0
1070,105.0,190.0,6000.0
106,17.0,14.0,1000.0
213,25.0,23.0,976.0
156,5.0,10.0,4000.0
6461,109.0,204.0,7000.0
2534,2.0,76.0,120000.0
182,4.0,17.0,1000.0
267,22.0,38.0,1000.0
3072,150.0,237.0,7000.0
24180,234.0,1000.0,120000.0
354,25.0,27.0,447.0
5215,137.0,732.0,120000.0
314,14.0,26.0,10000.0
13621,91.0,913.0,80000.0
650,36.0,52.0,1000.0
1919,4.0,506.0,70000.0
87,2.0,6.0,3000.0
986,28.0,32.0,4000.0
3462,16.0,135.0,20000.0
1187,28.0,88.0,10000.0
865,42.0,91.0,40000.0
577,2.0,21.0,368.0
213,21.0,47.0,8000.0
104,2.0,13.0,2000.0
36,6.0,5.0,301.0
252,25.0,27.0,113.0
430,10.0,18.0,1000.0
21,0.0,1.0,4000.0
2174,40.0,120.0,10000.0
110,4.0,12.0,3000.0
400,6.0,14.0,602.0
239,2.0,16.0,257.0
56,5.0,4.0,232.0
23,6.0,7.0,136.0
249,2.0,23.0,872.0
284,4.0,16.0,349.0
23206,590.0,1000.0,60000.0
5580,52.0,178.0,10000.0
58,4.0,18.0,189.0
130,5.0,7.0,690.0
105,1.0,19.0,289.0
191,18.0,16.0,174.0
4457,163.0,247.0,20000.0
5955,69.0,335.0,90000.0
238,9.0,15.0,1000.0
56,1.0,3.0,124.0
24,1.0,2.0,25.0
3,1.0,1.0,7.0
82,10.0,11.0,148.0
34,26.0,17.0,387.0
244,5.0,5.0,1000.0
85,5.0,20.0,1000.0
56,5.0,11.0,179.0
66,2.0,4.0,805.0
36,6.0,8.0,197.0
78,11.0,10.0,1000.0
443,0.0,19.0,420.0
106,22.0,15.0,672.0
25,2.0,3.0,129.0
301,2.0,6.0,102.0
156,3.0,11.0,1000.0
37,5.0,5.0,78.0
37,0.0,11.0,75.0
149,10.0,7.0,38.0
72,44.0,22.0,189.0
41,1.0,8.0,379.0
192,9.0,16.0,4000.0
34,3.0,6.0,58.0
66,39.0,16.0,132.0
37,6.0,7.0,58.0
128,4.0,9.0,406.0
22,5.0,7.0,50.0
54,5.0,6.0,59.0
95,13.0,15.0,426.0
63,3.0,5.0,118.0
99,6.0,8.0,41.0
20,1.0,5.0,12.0
181,6.0,8.0,69.0
111,9.0,7.0,242.0
101,10.0,8.0,80.0
47,7.0,8.0,139.0
110,2.0,8.0,567.0
49,6.0,2.0,40.0
31,0.0,5.0,269.0
152,2.0,5.0,30000.0
975,14.0,97.0,10000.0
6171,64.0,254.0,10000.0
113,8.0,5.0,196.0
15,2.0,3.0,22.0
37,3.0,5.0,141.0
136,12.0,21.0,138.0
32,2.0,7.0,12.0
28,5.0,5.0,106.0
21,2.0,3.0,14.0
118,8.0,5.0,43.0
46,2.0,7.0,174.0
83,8.0,11.0,155.0
70,0.0,10.0,297.0
55,0.0,6.0,269.0
68,0.0,5.0,71.0
55,9.0,8.0,40.0
78,23.0,13.0,564.0
52,4.0,7.0,152.0
238,21.0,27.0,50.0
148,2.0,5.0,150000.0
176,7.0,56.0,1000.0
102,2.0,4.0,3000.0
230,43.0,44.0,1000.0
117,4.0,15.0,279.0
515,17.0,37.0,4000.0
23,4.0,5.0,13.0
38,2.0,6.0,162.0
173,16.0,14.0,1000.0
100,2.0,10.0,59.0
135,13.0,10.0,157.0
37,3.0,5.0,114.0
118,12.0,11.0,143.0
110,2.0,9.0,347.0
42247,890.0,2000.0,120000.0
1861,17.0,46.0,2000.0
111,17.0,23.0,349.0
132,4.0,12.0,2000.0
72,23.0,23.0,147.0
48,8.0,7.0,226.0
24,1.0,2.0,118.0
260,18.0,26.0,3000.0
19,0.0,3.0,42.0
187,16.0,20.0,6000.0
26,1.0,9.0,118.0
131,2.0,9.0,55.0
61,1.0,13.0,609.0
277,0.0,11.0,773.0
103,13.0,21.0,270.0
51,4.0,9.0,340.0
41,2.0,5.0,2000.0
1382,21.0,24.0,388.0
80,4.0,13.0,285.0
261,6.0,10.0,68.0
47,0.0,2.0,1000.0
14,1.0,4.0,23.0
86,4.0,6.0,92.0
296,2.0,16.0,10000.0
20,2.0,7.0,1000.0
47,1.0,3.0,30000.0
87,12.0,20.0,453.0
168,14.0,23.0,120.0
72,17.0,28.0,180.0
12,0.0,3.0,21.0
249,1.0,10.0,258.0
67,2.0,10.0,468.0
308,53.0,20.0,725.0
60,3.0,7.0,40.0
183,3.0,4.0,71.0
14,0.0,5.0,18.0
15,2.0,4.0,297.0
59,0.0,2.0,185.0
39,3.0,16.0,182.0
77,3.0,12.0,354.0
102,11.0,8.0,83.0
11,0.0,3.0,36.0
346,2.0,12.0,146.0
98,13.0,10.0,179.0
84,13.0,4.0,20.0
13,0.0,3.0,45.0
45,13.0,11.0,181.0
27,1.0,6.0,46.0
68,3.0,7.0,291.0
69,4.0,5.0,267.0
21,1.0,3.0,69.0
64,4.0,6.0,202.0
13,0.0,1.0,114.0
83,5.0,10.0,67.0
59,2.0,2.0,224.0
27,2.0,5.0,98.0
25,1.0,4.0,503.0
57,4.0,3.0,100.0
15,5.0,4.0,34.0
44,11.0,4.0,62.0
74,4.0,13.0,264.0
12,0.0,1.0,15.0
111,0.0,11.0,266.0
100,3.0,13.0,252.0
286,8.0,10.0,1000.0
306,9.0,17.0,3000.0
38565,146.0,674.0,70000.0
80708,373.0,3000.0,320000.0
3460,63.0,343.0,70000.0
11282,51.0,533.0,120000.0
1818,35.0,205.0,80000.0
7650,146.0,357.0,20000.0
696,70.0,85.0,10000.0
2113,54.0,198.0,20000.0
2030,126.0,189.0,60000.0
92,2.0,7.0,29.0
288,10.0,28.0,20000.0
514,7.0,17.0,1000.0
1410,57.0,139.0,50000.0
408,23.0,51.0,6000.0
8283,66.0,332.0,10000.0
5894,58.0,209.0,30000.0
127,6.0,8.0,1000.0
168,7.0,16.0,3000.0
1929,23.0,187.0,2000.0
1466,34.0,91.0,10000.0
550,5.0,7.0,24.0
720,23.0,78.0,20000.0
228,21.0,28.0,1000.0
562,12.0,35.0,1000.0
81,3.0,4.0,2000.0
1336,154.0,167.0,20000.0
11038,70.0,734.0,20000.0
2087,7.0,102.0,1000.0
800,18.0,124.0,7000.0
4589,94.0,570.0,70000.0
846,48.0,89.0,8000.0
1910,46.0,169.0,8000.0
5449,20.0,290.0,40000.0
172,10.0,15.0,1000.0
1152,23.0,143.0,10000.0
71287,967.0,10000.0,150000.0
8784,115.0,579.0,70000.0
2808,32.0,92.0,60000.0
1254,17.0,163.0,8000.0
5802,89.0,560.0,10000.0
1079,4.0,23.0,1000.0
5025,55.0,145.0,4000.0
262,4.0,30.0,1000.0
2048,191.0,256.0,30000.0
3494,154.0,207.0,40000.0
1761,32.0,96.0,30000.0
337,40.0,41.0,4000.0
87,5.0,14.0,2000.0
70,1.0,9.0,3000.0
882,18.0,114.0,6000.0
105,2.0,10.0,2000.0
348,26.0,78.0,10000.0
99,17.0,9.0,3000.0
205,62.0,27.0,344.0
143,3.0,6.0,5000.0
190,7.0,14.0,44.0
49,5.0,6.0,44.0
888,8.0,31.0,285.0
572,6.0,20.0,4000.0
430,20.0,42.0,941.0
152,16.0,8.0,91.0
128,7.0,7.0,128.0
113,49.0,25.0,1000.0
297,9.0,8.0,768.0
66,11.0,12.0,184.0
31,3.0,8.0,26.0
107,19.0,20.0,111.0
38,0.0,1.0,3000.0
17492,79.0,1000.0,10000.0
146,10.0,11.0,179.0
92,1.0,6.0,70.0
89,7.0,8.0,80.0
195,4.0,15.0,350.0
12,3.0,4.0,26.0
97,9.0,13.0,122.0
16,1.0,4.0,34.0
67,13.0,7.0,205.0
121,24.0,18.0,121.0
24,2.0,3.0,34.0
65,6.0,9.0,55.0
21,3.0,2.0,21.0
38,3.0,9.0,17.0
17016,149.0,581.0,150000.0
57,4.0,4.0,13.0
39,0.0,6.0,146.0
34,2.0,8.0,19.0
30,2.0,6.0,27.0
279,9.0,29.0,339.0
53,0.0,10.0,482.0
28,6.0,7.0,101.0
218,2.0,3.0,236.0
112,51.0,25.0,158.0
108,14.0,12.0,38.0
15,0.0,4.0,20.0
6,0.0,1.0,4.0
8,0.0,1.0,3.0
73,2.0,1.0,120.0
71,2.0,2.0,71.0
26,4.0,4.0,83.0
8,0.0,2.0,4.0
18,1.0,4.0,139.0
36,1.0,8.0,13.0
16,5.0,4.0,39.0
105,7.0,15.0,497.0
1615,1.0,189.0,10000.0
66,4.0,8.0,155.0
33,7.0,3.0,13.0
124,0.0,2.0,3.0
51,10.0,9.0,57.0
27,14.0,16.0,137.0
17,0.0,3.0,79.0
751,13.0,3.0,203.0
19,0.0,2.0,6.0
56,8.0,7.0,17.0
154,6.0,9.0,935.0
4,0.0,1.0,261.0
130,4.0,20.0,132.0
62,11.0,6.0,39.0
52,3.0,9.0,38.0
5,2.0,4.0,304.0
141,1.0,6.0,2000.0
28,6.0,6.0,81.0
11,1.0,6.0,21.0
29,0.0,2.0,1000.0
19,0.0,0.0,1000.0
32,0.0,5.0,39.0
86,8.0,4.0,10.0
15,0.0,1.0,1000.0
130,0.0,7.0,87.0
113,11.0,8.0,163.0
209,2.0,6.0,369.0
61,1.0,2.0,80.0
18,0.0,2.0,31.0
42,1.0,4.0,20.0
1,0.0,1.0,6.0
14,8.0,2.0,62.0
39,1.0,2.0,54.0
